,address,rent,beds,baths,borough,hood,elevator,doorman,laundry,furnished,sqft,page
51900,West 58th Street,3450,2,1,Manhattan,Theater District,True,True,False,False,,157
51902,11th Avenue,3915,1,1,Manhattan,Chelsea,False,True,False,False,,157
51903,41-22 24th Street Apt 5D,2791,1,1,Queens,Long Island City,True,True,False,False,,157
51904,W 31st St,4242,1,1,Manhattan,Chelsea,True,True,True,False,,157
51906,1661 York Avenue Apt 2,2100,Studio,1,Manhattan,Yorkville,False,False,False,False,,157
51907,East 30th Street,4120,1,2,Manhattan,Rose Hill,True,False,False,True,,157
51908,25-21 31st Ave. Apt C14,1895,1,1,Queens,Astoria,False,False,False,False,,157
51909,451 7th Avenue Apt 3L,2741,1,1,Brooklyn,South Slope,False,False,False,False,,157
51910,42nd and 9th,4900,4,2,Manhattan,Garment District,True,True,False,False,1300,157
51917,Ludlow Street,4900,1,1,Manhattan,Lower East Side,True,True,False,False,,156
51918,E 63rd St.,5000,2,2,Manhattan,Upper East Side,True,True,False,False,1200,156
51919,5205 5th Avenue Apt SIX,2395,2,1,Brooklyn,Sunset Park,False,False,False,False,,156
51920,145 Borinquen Place Apt 29,2318,1,1,Brooklyn,East Williamsburg,False,False,False,False,,156
51921,Pine Street,5977,2,2,Manhattan,Financial District,True,True,True,False,,156
51923,Fifth Avenue,2750,1,1,Manhattan,East Harlem,True,True,False,False,,156
51937,East 27th Street,3200,2,1,Manhattan,Rose Hill,True,True,True,False,,155
51939,E 87th St.,4708,2,2,Manhattan,Yorkville,True,True,False,False,,155
51940,E 95th street,3950,3,1,Manhattan,Carnegie Hill,False,False,False,False,,155
51942,220 E 63rd St Apt 4A,6425,2,2,Manhattan,Upper East Side,True,True,False,False,,155
51943,888 8th Ave. Apt 7J,2895,Studio,1,Manhattan,Theater District,True,True,False,False,620,155
51944,West 37th Street,3635,1,1,Manhattan,Hell's Kitchen,True,True,True,False,,155
51946,45 Beekman Street Apt 4N,3995,2,2,Manhattan,Financial District,False,False,False,False,985,155
51947,415 Main St,4500,2,2,Manhattan,Roosevelt Island,True,True,True,False,1197,155
51948,W 45th St.,5795,4,2,Manhattan,Hell's Kitchen,True,True,True,False,,155
51949,E 88th St.,5695,2,1,Manhattan,Carnegie Hill,True,False,False,False,,155
51952,203 North 8th Street Apt 5A,3495,2,1,Brooklyn,Williamsburg,False,False,False,False,,155
51953,31-42 42nd Street Unit 3 Apt ...,2400,2,1,Queens,Astoria,False,False,False,False,,155
51954,10 Montieth - The Rheingold,2871,2,1,Brooklyn,Bushwick,True,True,False,False,,155
51957,150 Greenway Terrace Apt 38I,2995,2,1,Queens,Forest Hills,True,True,False,False,,154
51958,East 20's,2395,Studio,1,Manhattan,Gramercy Park,True,True,False,False,500,154
51961,West 54th Street,2985,Studio,1,Manhattan,Hell's Kitchen,False,False,False,False,,154
51963,Prince St.,3226,1,1,Manhattan,NoLita,False,False,True,False,,154
51964,East 30th Street,2565,Studio,1,Manhattan,Rose Hill,True,False,False,False,,154
51970,East 50's,3400,1,1,Manhattan,Midtown East,True,True,False,False,,154
51980,8 Fairview Place Apt 201201,2950,2,1,Brooklyn,Flatbush,True,False,False,False,,153
51981,160 Central Park South,6500,1,1,Manhattan,Theater District,True,True,False,True,,153
51982,W 20th St,5388,1,1,Manhattan,Chelsea,False,False,False,False,,153
51983,E 92nd St.,5346,2,2,Manhattan,Yorkville,True,True,True,False,,153
51984,west 30's,3100,2,1,Manhattan,Chelsea,True,True,False,False,800,153
51985,W 53rd Street,5077,2,2,Manhattan,Hell's Kitchen,True,True,False,False,,153
51986,30 Waterside Plaza,3200,2,1,Manhattan,Kips Bay,True,True,False,False,700,153
51988,51-01 39th Ave Apt A24,2695,2,1,Queens,Woodside,False,False,False,False,,153
51991,1st Avenue,6450,2,2,Manhattan,Murray Hill,True,True,True,False,,153
51992,222 E 39th St Apt 18B,4500,1,1,Manhattan,Murray Hill,True,True,False,False,,153
51999,West Street,4100,2,2,Manhattan,Financial District,True,True,True,False,,152
52002,1400 Jefferson Ave Apt B,2300,3,1,Brooklyn,Bushwick,False,False,False,False,,152
52003,101 West End Avenue Apt 14T,3015,Studio,1,Manhattan,Lincoln Square,True,True,False,False,,152
52006,8 West 86th St,2995,1,1,Manhattan,Upper West Side,True,False,False,False,650,152
52007,West 37th Street,3128,2,1,Manhattan,Hell's Kitchen,True,True,False,False,,152
52008,135 North 11th St,3995,1,1,Brooklyn,Williamsburg,False,True,False,False,918,152
52010,36th Avenue,1925,1,1,Queens,Long Island City,False,False,False,False,,152
52019,206 Nassau Avenue Apt 2L,3870,3,2,Brooklyn,Greenpoint,False,False,False,False,,151
52020,Washington St,3000,Studio,1,Manhattan,Financial District,True,True,True,False,,151
52025,5th Ave.,3675,3,1,Manhattan,East Harlem,False,True,False,False,,151
52027,116 John St Apt 906,4424,3,2,Manhattan,Financial District,True,True,False,False,,151
52028,East 70th Street,5150,2,2,Manhattan,Upper East Side,True,True,False,False,1200,151
52029,Washington St.,3905,1,1,Manhattan,West Village,True,True,False,False,,151
52039,East 92nd Street,3900,3,1,Manhattan,Upper East Side,False,False,False,False,,150
52040,Downtown Brooklyn,2746,Studio,1,Brooklyn,Fort Greene,True,True,True,False,,150
52042,W 79th St.,9000,2,2,Manhattan,Upper West Side,True,True,True,False,1300,150
52043,E 33 Street,2450,1,1,Manhattan,Rose Hill,True,False,False,False,,150
52045,Wall Street,3872,3,2,Manhattan,Financial District,True,True,False,False,,150
52046,43-32 47th St. Apt B16,2300,2,1,Queens,Sunnyside,False,False,False,False,,150
52047,Main Street,2195,Studio,1,Manhattan,Roosevelt Island,True,False,False,False,,150
52048,Hell's Kitchen,2756,Studio,1,Manhattan,Hell's Kitchen,True,True,True,False,,150
52049,West St,4892,2,2,Manhattan,Financial District,True,True,False,False,,150
52050,W 77th St,2765,Studio,1,Manhattan,Upper West Side,False,False,False,False,,150
52051,12 Barclay Street New York N...,3100,1,1,Manhattan,Tribeca,True,True,False,False,,150
52058,Wall Street,6200,2,2,Manhattan,Financial District,True,True,True,True,,149
52059,W26th,4000,1,1,Manhattan,NoMad,True,True,False,False,800,149
52060,Platt Street,3095,1,1,Manhattan,Financial District,True,True,True,False,,149
52063,10 Barclay St. Apt 2707,2918,2,1,Manhattan,Tribeca,True,True,True,False,,149
52065,19 Dutch St,3160,Studio,1,Manhattan,Financial District,False,False,True,False,,149
52066,1309 5th Ave Apt 18GA,3125,2,1,Manhattan,East Harlem,True,True,False,False,,149
52069,East 47th Street,2995,1,1,Manhattan,Turtle Bay,True,True,False,False,,149
52070,Broad Street,3511,1,1,Manhattan,Financial District,True,True,True,False,,149
52077,Water Street,4030,1,1,Manhattan,Financial District,True,True,False,False,,148
52078,1590 Lexington avenue,3553,3,2,Manhattan,East Harlem,False,False,True,False,,148
52079,1st Ave,2672,1,1,Manhattan,East Village,False,False,True,False,,148
52080,West End Avenue,8195,3,2,Manhattan,Upper West Side,True,True,False,False,,148
52083,W 11 Street,4925,2,2,Manhattan,West Village,True,False,False,False,,148
52084,East 38th Street,3700,2,1,Manhattan,Murray Hill,True,True,False,False,,148
52097,West 38th Street,4300,1,1,Manhattan,Garment District,True,True,True,False,,147
52098,48-50 37th St. Apt 3Q,1695,Studio,1,Queens,Sunnyside,True,False,False,False,,147
52101,Dutch Street,3600,1,1,Manhattan,Financial District,True,True,True,False,,147
52102,186 Lenox Rd Apt 2FL,2650,2,1,Brooklyn,Flatbush,True,False,False,False,,147
52105,409 West 129th Street Apt 25C...,3800,4,1,Manhattan,Manhattanville,False,False,True,False,,147
52108,East 3rd Street,3200,2,1,Manhattan,Alphabet City,False,False,True,False,,147
52118,East 25th Street,5700,4,2,Manhattan,Rose Hill,True,False,False,False,,146
52122,W 45th St.,2725,1,1,Manhattan,Hell's Kitchen,True,False,False,False,,146
52125,Dutch Street,6935,3,2,Manhattan,Financial District,True,True,True,False,,146
52126,West 48th Street,5195,2,2,Manhattan,Theater District,True,True,False,False,,146
52127,244 West 64th Street,2750,2,1,Manhattan,Lincoln Square,True,False,False,False,,146
52129,39-89 51st St Apt 3C,1650,Studio,1,Queens,Woodside,False,False,False,False,,146
52130,2nd Ave,4450,2,1,Manhattan,East Village,False,False,True,False,,146
52137,West 39th Street,4200,1,1,Manhattan,Garment District,True,True,False,False,,145
52138,E 68th St.,6500,2,2,Manhattan,Upper East Side,True,True,True,False,1200,145
52139,76-66 Austin St. Apt 2M,1800,1,1,Queens,Forest Hills,True,False,False,False,,145
52140,West 70's,5600,2,2,Manhattan,Upper West Side,True,True,True,False,,145
52141,John Street,4895,2,1,Manhattan,Financial District,True,False,True,False,1115,145
52143,East 53rd Street,2195,Studio,1,Manhattan,Midtown East,False,False,False,False,,145
52144,111 Worth Street Apt 8R,3500,2,1,Manhattan,Civic Center,True,True,False,False,,145
52145,East 33rd Street,3348,1,1,Manhattan,Kips Bay,True,True,True,False,,145
52148,Mulberry St,5750,2,2,Manhattan,NoLita,True,True,True,False,,145
52149,10 Sheridan Square Apt 6E,3300,Studio,1,Manhattan,West Village,True,True,False,False,,145
52157,West street,5000,2,2,Manhattan,Financial District,True,True,True,False,,144
52158,Kent Avenue,3750,1,1,Brooklyn,Williamsburg,True,True,True,False,,144
52159,51-01 39th Ave Apt R62,2700,2,1,Queens,Woodside,False,False,False,False,,144
52160,5th Ave.,3300,Studio,1,Manhattan,Greenwich Village,True,True,False,False,,144
52161,W 79th St.,8000,2,2,Manhattan,Upper West Side,True,True,True,False,1700,144
52164,W 69th street,3600,1,1,Manhattan,Lincoln Square,False,False,False,False,,144
52168,Fort Greene,2862,Studio,1,Brooklyn,Fort Greene,True,True,False,False,,144
52170,194 Ralph Avenue Apt 3B,2475,3,1,Brooklyn,Bedford-Stuyvesant,False,False,False,False,,144
52177,East 72,2770,Studio,1,Manhattan,Upper East Side,True,True,False,False,535,143
52178,East 62nd Street,2150,1,1,Manhattan,Upper East Side,False,False,False,False,,143
52179,West 54th Street,4760,1,1,Manhattan,Hell's Kitchen,True,True,False,False,,143
52181,East 18th Street,4500,3,2,Manhattan,Gramercy Park,False,False,True,False,,143
52183,Attorney St.,7238,4,2,Manhattan,Lower East Side,False,False,True,False,,143
52187,E 6th street,4000,2,1,Manhattan,East Village,False,False,True,False,,143
52188,238 North 5th St,3500,2,1,Brooklyn,Williamsburg,False,False,False,False,,143
52189,West 50th Street,5495,3,1,Manhattan,Hell's Kitchen,True,True,True,False,,143
52197,John Street,4300,1,1,Manhattan,Financial District,True,True,False,False,,142
52198,93 Worth Apt 11K,4200,3,1,Manhattan,Tribeca,True,True,False,False,,142
52200,605 West 42nd Street Apt 46K,3500,Studio,1,Manhattan,Hell's Kitchen,True,True,True,False,,142
52203,Exchange Place,2771,Studio,1,Manhattan,Financial District,True,True,False,False,,142
52206,324 Atlantic Avenue,3650,2,1,Brooklyn,Boerum Hill,False,False,True,False,,142
52208,45-42 41st Street Apt 6L,2300,1,1,Queens,Sunnyside,True,False,False,False,,142
52209,East 73rd Street,2300,Studio,1,Manhattan,Upper East Side,True,False,False,False,,142
52210,East 70's,3400,1,1,Manhattan,Upper East Side,True,True,False,False,,142
52217,E 3rd St,3750,2,1,Manhattan,Alphabet City,False,False,False,False,,141
52218,110 Martense St Apt C2C2,2100,2,1,Brooklyn,Flatbush,False,False,False,False,,141
52220,Broad Street,3485,2,1,Manhattan,Financial District,True,True,True,False,,141
52221,43-32 47th St. Apt B44,2500,2,1,Queens,Sunnyside,False,False,False,False,,141
52222,421 E 9th St Apt B4,2450,1,1,Manhattan,East Village,False,False,False,False,,141
52223,37-40 27th St,2600,1,1,Queens,Long Island City,True,False,False,False,,141
52224,West 48th Street,5990,2,2,Manhattan,Theater District,True,True,False,False,,141
52225,248 West 64th Street,1595,Studio,1,Manhattan,Lincoln Square,True,False,False,False,150,141
52226,East 12th Street,2612,Studio,1,Manhattan,East Village,False,False,True,False,,141
52228,101 West End Avenue Apt 15H,5805,1,2,Manhattan,Lincoln Square,True,True,False,False,937,141
52230,E 84th St.,2567,1,1,Manhattan,Yorkville,False,False,False,False,,141
52232,247 N 7th Street Apt 2202,4098,2,2,Brooklyn,Williamsburg,True,False,False,False,,141
52237,John Street,5510,2,2,Manhattan,Financial District,True,True,False,False,,140
52238,356 Broadway Apt 3D,5195,1,1,Manhattan,Civic Center,True,False,True,False,1420,140
52239,Rutgers St,4148,2,1,Manhattan,Two Bridges,True,True,True,False,,140
52240,377 East 33rd Street Apt 19C,4800,1,1,Manhattan,Kips Bay,True,True,False,False,,140
52241,West 10th Street,4000,1,1,Manhattan,West Village,True,False,False,False,,140
52242,100 Covert Street Apt 2A,2350,2,2,Brooklyn,Bushwick,False,False,False,False,,140
52244,52 Ludlow Street Apt 3AZ,3190,1,1,Manhattan,Chinatown,False,False,False,False,,140
52245,305-315 E 86th St Apt 10M,3550,2,1,Manhattan,Yorkville,False,False,False,False,,140
52247,54 Patchen Ave Apt 3,1075,Share,2,Brooklyn,Bedford-Stuyvesant,False,False,False,False,,140
52249,East 34th Street,3099,2,1,Manhattan,Kips Bay,True,True,False,False,,140
52250,1990 Lexington avenue,2550,2,1,Manhattan,East Harlem,True,True,False,False,,140
52251,292 Bedford Ave Apt 9,2900,2,1,Brooklyn,Williamsburg,False,False,False,False,,140
52257,42-09 47th Ave. Apt 5O,2300,1,1,Queens,Sunnyside,True,False,False,False,,139
52258,63 Wall Street Apt 1013,3500,1,1,Manhattan,Financial District,True,True,False,False,,139
52259,425 Sterling Place Apt 1LW,4000,2,2,Brooklyn,Prospect Heights,False,False,False,False,,139
52260,Elizabeth St,5339,2,1,Manhattan,Little Italy,False,False,False,False,,139
52261,West 62nd Street,30000,4,4,Manhattan,Lincoln Square,False,False,True,False,3000,139
52262,Ainslie Street,3780,2,1,Brooklyn,East Williamsburg,True,False,False,False,,139
52263,244 Bainbridge Street Apt 4,2433,3,1,Brooklyn,Bedford-Stuyvesant,False,False,False,False,,139
52265,West 33rd Street,3995,Studio,1,Manhattan,Koreatown,True,True,True,False,,139
52267,West 48th Street,5200,1,1,Manhattan,Theater District,True,True,False,False,,139
52269,Spruce Street,2949,1,1,Manhattan,Financial District,True,True,False,False,,139
52271,West 37th Street,3250,1,1,Manhattan,Garment District,True,True,False,False,,139
52272,Upper East Side,3975,2,2,Manhattan,Upper East Side,True,False,False,False,,139
52273,420 E 102nd St Apt 4L,1895,Studio,1,Manhattan,East Harlem,True,False,False,False,,139
52274,1990 Lexington Avenue,2950,3,1,Manhattan,East Harlem,True,True,False,False,,139
52277,Delancey St,4573,1,1,Manhattan,Lower East Side,True,True,True,False,,138
52278,E 94th St.,4436,2,2,Manhattan,Yorkville,True,True,True,False,,138
52279,47-07 41st St. Apt 3K,3025,2,1,Queens,Sunnyside,True,False,False,False,,138
52280,East 80th Street,9200,3,2,Manhattan,Upper East Side,False,False,True,False,1340,138
52282,West 53rd Street,3169,1,1,Manhattan,Hell's Kitchen,True,True,True,False,,138
52283,21 Pilling St Apt FL2,2800,3,1,Brooklyn,Bushwick,False,False,False,False,,138
52284,Worth St.,3510,2,1,Manhattan,Civic Center,True,True,False,False,,138
52285,Theater District Midtown Manh...,5220,3,2,Manhattan,Theater District,True,True,False,False,900,138
52288,530 East 76th St,5499,2,2,Manhattan,Upper East Side,True,True,False,False,1007,138
52289,West 135th Street,1750,1,1,Manhattan,Central Harlem,False,False,False,False,,138
52290,80 Lexington Ave Apt 106,1750,Studio,1,Brooklyn,Bedford-Stuyvesant,False,False,False,False,,138
52297,243 West 63rd Street,3295,3,1,Manhattan,Lincoln Square,True,False,False,False,,137
52298,39-89 51st St Apt 1C,1625,Studio,1,Queens,Woodside,False,False,False,False,,137
52299,610 Flatbush Avenue Apt B1,2547,2,1,Brooklyn,Prospect Lefferts Gardens,False,False,False,False,,137
52300,West 52nd Street,3640,1,1,Manhattan,Hell's Kitchen,True,True,True,False,,137
52301,1544 Nostrand Ave Apt 2F,950,3,2,Brooklyn,Flatbush,False,False,False,False,,137
52304,90 Sullivan Pl Apt C5,3450,3,2,Brooklyn,Crown Heights,False,False,False,False,,137
52308,Mott St,3000,1,1,Manhattan,NoLita,False,False,True,False,,137
52309,110 Wall Street Apt 1006,6311,3,2,Manhattan,Financial District,True,True,False,True,,137
52318,W 37th St.,3630,1,1,Manhattan,Hell's Kitchen,True,True,False,False,,136
52319,E 1st St,4295,2,2,Manhattan,Bowery,False,False,True,False,,136
52321,72-39 61st Street Apt 1,2900,2,2,Queens,Glendale,False,False,False,False,,136
52322,W 14th St.,4056,1,1,Manhattan,Flatiron District,True,True,False,False,,136
52323,W 52nd St.,4900,2,2,Manhattan,Theater District,True,True,False,False,929,136
52324,East 3rd Street,2200,Studio,1,Manhattan,Bowery,False,False,True,False,,136
52326,East 32nd Street,3700,3,1,Manhattan,Murray Hill,True,True,False,False,,136
52327,Barclay Street,6895,2,2,Manhattan,Tribeca,True,True,True,False,,136
52328,Saint Marks Place,3300,2,1,Manhattan,East Village,False,False,False,False,,136
52331,E 24 St,5400,3,2,Manhattan,Rose Hill,False,False,True,False,1200,136
52337,Broadway,4200,1,1,Manhattan,Financial District,True,True,False,False,,135
52338,West 53rd Street,4700,2,2,Manhattan,Hell's Kitchen,True,True,False,False,,135
52339,540 Main Street,4800,4,2,Manhattan,Roosevelt Island,True,False,False,False,1230,135
52340,East 39th Street,6500,3,2,Manhattan,Murray Hill,True,True,True,False,,135
52343,E 21st St,2982,Studio,1,Manhattan,Gramercy Park,False,False,False,False,,135
52344,West 29th Street,4025,1,1,Manhattan,Chelsea,True,True,True,False,,135
52346,271 W 47th St Apt 8A,3495,2,1,Manhattan,Theater District,True,True,False,False,,135
52357,E 81st St.,2900,1,1,Manhattan,Yorkville,False,False,True,False,,134
52359,West 43rd Street,2745,Studio,1,Manhattan,Hell's Kitchen,True,True,False,False,,134
52361,8 Spruce Street Apt 30,3600,2,1,Manhattan,Financial District,True,True,False,False,,134
52363,140 Riverside Boulevard Apt 3...,6330,2,2,Manhattan,Lincoln Square,True,True,True,False,1197,134
52364,224 Wythe Ave Apt A/68,3456,2,1,Brooklyn,Williamsburg,False,False,False,False,,134
52366,Chelsea / High Line,4835,1,1,Manhattan,Chelsea,True,True,True,False,,134
52367,65-70 Austin St Apt A4,2240,1,1,Queens,Rego Park,False,False,False,False,,134
52369,West 93rd Street,3688,2,1,Manhattan,Upper West Side,True,True,False,False,,134
52370,West 35th Street,3395,Studio,1,Manhattan,Hell's Kitchen,True,True,True,False,,134
52377,171 Linden Boulevard Apt 8A,1649,Studio,1,Brooklyn,Flatbush,True,False,False,False,,133
52378,E 47th St.,5730,3,1,Manhattan,Turtle Bay,True,True,True,False,,133
52380,East 9th Street,2400,1,1,Manhattan,East Village,False,False,True,False,,133
52381,West 90's,3300,1,1,Manhattan,Upper West Side,True,True,False,False,,133
52382,West End Avenue,11995,3,3,Manhattan,Upper West Side,True,True,True,False,2086,133
52383,25 Murray Apt 25Q,5095,2,1,Manhattan,Tribeca,True,True,True,False,,133
52385,10 Montieth Apt 262,3514,2,2,Brooklyn,Bushwick,True,True,False,False,950,133
52389,220 Madison Ave,4995,3,2,Manhattan,Murray Hill,True,True,False,False,,133
52397,West 54th Street,6800,2,2,Manhattan,Hell's Kitchen,True,True,False,False,,132
52398,First Avenue,4200,3,1,Manhattan,Gramercy Park,True,False,False,False,1000,132
52399,Center Blvd,3963,2,2,Queens,Hunters Point,True,True,True,False,,132
52400,Water St,5150,Loft,2,Manhattan,Financial District,True,True,True,False,,132
52403,Attorney St,7295,3,2,Manhattan,Lower East Side,False,False,True,False,,132
52408,50 Murray Street Apt 314,5700,4,2,Manhattan,Tribeca,True,True,True,False,1200,132
52409,West 40's,4600,2,2,Manhattan,Hell's Kitchen,True,True,False,False,,132
52410,1 Central Park South,13000,2,2,Manhattan,Midtown East,True,True,False,True,1342,132
52417,West 50's,5050,2,2,Manhattan,Hell's Kitchen,True,True,True,False,,131
52420,171 Linden Boulevard Apt 3C,2015,1,1,Brooklyn,Flatbush,True,True,False,False,680,131
52421,165 E 83rd St.. Apt 5C,2850,1,1,Manhattan,Upper East Side,True,False,False,False,600,131
52422,West 33rd Street,5128,3,2,Manhattan,Chelsea,True,True,True,False,,131
52423,Worth St.,3195,1,1,Manhattan,Civic Center,True,True,False,False,,131
52424,2 Gold St. Apt 4612,6310,4,2,Manhattan,Financial District,True,True,False,False,1290,131
52425,River Terrace,8400,2,2,Manhattan,Battery Park City,False,False,False,False,,131
52427,W 34th St.,2795,Studio,1,Manhattan,Koreatown,True,True,False,False,,131
52428,754 Park Place Apt FOUR,2150,2,1,Brooklyn,Crown Heights,False,False,False,False,,131
52431,Jane Street,6045,2,2,Manhattan,West Village,True,True,False,False,,131
52432,Greenwich St.,5000,1,2,Manhattan,West Village,True,True,False,False,,131
52439,East 32nd Street,2800,1,1,Manhattan,Murray Hill,True,True,False,False,,130
52440,44 Berry St Apt 1A,3240,1,2,Brooklyn,Williamsburg,False,False,False,False,,130
52442,1st Ave.,6677,4,1,Manhattan,Stuyvesant Town - Peter Cooper Village,True,False,False,False,,130
52443,804 Jefferson Ave Apt 2C,2400,2,1,Brooklyn,Bedford-Stuyvesant,True,False,False,False,,130
52445,E20 street,4295,3,1,Manhattan,Gramercy Park,True,False,False,False,1000,130
52446,East 70's,5190,2,2,Manhattan,Upper East Side,True,True,False,False,,130
52449,spruce st,13455,3,3,Manhattan,Financial District,True,True,True,False,,130
52457,West 39th Street,4349,1,1,Manhattan,Garment District,True,True,False,False,,129
52458,First Avenue,4120,2,1,Manhattan,East Village,True,False,False,False,980,129
52459,33 Halsey St Apt GARDEN,2900,1,1,Brooklyn,Bedford-Stuyvesant,False,False,False,False,,129
52462,E 10th St,5295,2,1,Manhattan,East Village,False,False,True,False,,129
52463,238 E 106th St Apt 4,2450,1,1,Manhattan,East Harlem,False,False,False,False,,129
52464,East 30th St,6300,3,3,Manhattan,Kips Bay,False,False,False,False,550,129
52465,West 30's,5355,2,2,Manhattan,Garment District,True,True,False,False,,129
52469,171 Linden Boulevard Apt 5B,2220,2,1,Brooklyn,Flatbush,True,True,False,False,,129
52477,E 92 St.,8000,2,2,Manhattan,Carnegie Hill,True,True,False,False,,128
52478,Court St,3282,1,1,Brooklyn,Brooklyn Heights,True,True,True,False,,128
52479,West 42nd Street,6240,2,2,Manhattan,Hell's Kitchen,True,True,True,False,,128
52481,72nd street & 2nd ave,4000,2,1,Manhattan,Upper East Side,True,True,False,False,,128
52482,45 Hoyt Street,5128,2,2,Brooklyn,Downtown Brooklyn,True,True,True,False,,128
52483,500 Sterling Place Apt 2F,2950,2,2,Brooklyn,Prospect Heights,True,True,True,False,,128
52485,West 40's,5600,2,2,Manhattan,Hell's Kitchen,True,True,False,False,,128
52486,601 West 137th St,3620,3,1,Manhattan,Hamilton Heights,True,False,False,False,,128
52488,West 97th Street,3785,3,2,Manhattan,Manhattan Valley,True,True,True,False,,128
52489,West 15th Street,2695,Studio,1,Manhattan,Flatiron District,True,False,True,False,,128
52491,643 Franklin Avenue Apt 1R,2793,3,1,Brooklyn,Crown Heights,False,False,False,False,,128
52492,333 West 19th Street # 1-E,2850,1,1,Manhattan,Chelsea,False,False,False,False,,128
52497,West 48th Street,5981,2,2,Manhattan,Theater District,True,True,True,False,,127
52498,200 Clifton Place Apt 2B,3169,2,2,Brooklyn,Bedford-Stuyvesant,False,False,False,False,,127
52499,East 3rd Street,5095,2,1,Manhattan,Alphabet City,True,True,False,False,,127
52500,First Avenue,3550,2,1,Manhattan,Gramercy Park,True,False,False,False,800,127
52502,87-21 63 Ave,2100,2,1,Queens,Rego Park,False,False,False,False,900,127
52503,Madison Avenue,3495,1,1,Manhattan,NoMad,True,True,False,False,680,127
52506,East 3rd Street,6500,5,3,Manhattan,Alphabet City,False,False,True,False,,127
52508,Delancey St,7191,3,2,Manhattan,Lower East Side,True,True,True,False,,127
52517,37-40 27th St,2495,1,1,Queens,Long Island City,True,False,False,False,,126
52518,East 56th Street,3600,2,1,Manhattan,Midtown East,True,True,False,False,850,126
52519,246 Bainbridge Street Apt 8,2187,2,1,Brooklyn,Bedford-Stuyvesant,False,False,False,False,,126
52522,W 70th Street,5700,2,2,Manhattan,Lincoln Square,True,True,False,False,,126
52524,Upper West Side,5480,2,2,Manhattan,Upper West Side,True,True,True,False,,126
52527,E 80th St,3200,2,1,Manhattan,Yorkville,True,False,False,False,,126
52529,37 East 12th St,25000,3,2,Manhattan,Greenwich Village,True,False,False,False,3022,126
52534,41st Street,3000,3,1,Queens,Astoria,False,False,False,False,,126
52536,E 71st St.,2850,1,1,Manhattan,Upper East Side,False,False,True,False,,126
52538,East 56th Street,2673,Studio,1,Manhattan,Midtown East,True,False,False,True,,125
52539,Stanton Street,7495,4,2,Manhattan,Lower East Side,False,False,True,False,,125
52540,E 96th St,3500,Studio,1,Manhattan,East Harlem,False,False,False,False,,125
52542,361 East 10th Street Apt 46,3200,2,1,Manhattan,Alphabet City,True,False,False,False,900,125
52544,375 South End Avenue Apt 15R,3475,1,1,Manhattan,Battery Park City,False,False,False,False,680,125
52545,888 8th Ave. Apt 15C,2750,Studio,1,Manhattan,Theater District,True,True,False,False,,125
52546,144 East 7th St Apt B3,2250,Studio,1,Manhattan,Alphabet City,True,False,False,False,,125
52547,605 W 42 Apt M,2750,Studio,1,Manhattan,Hell's Kitchen,True,True,True,False,,125
52548,Broad St,3762,1,1,Manhattan,Financial District,False,False,False,False,,125
52549,W 68th St.,3738,1,1,Manhattan,Lincoln Square,True,True,False,False,,125
52551,East 35th Street,2400,Studio,1,Manhattan,Murray Hill,True,True,False,False,,125
52552,W 57th St,6498,3,2,Manhattan,Hell's Kitchen,True,True,True,False,,125
52559,300 E 34th St,3100,Studio,1,Manhattan,Kips Bay,True,True,True,False,,124
52560,Wall Street,4990,1,2,Manhattan,Financial District,True,True,False,False,,124
52562,West 31st Street,3485,Studio,1,Manhattan,Chelsea,True,True,True,False,,124
52563,5th Ave,25000,3,4,Manhattan,Upper East Side,False,False,False,False,,124
52564,Steinway Street,2100,2,1,Queens,Steinway,False,False,False,False,,124
52565,141 Fourth Ave Apt 8Z,3695,1,1,Manhattan,Greenwich Village,True,True,False,False,,124
52568,E 35th St,2998,2,1,Manhattan,Murray Hill,False,False,False,False,,124
52569,201 East 81st Street Apt 3A,3100,2,1,Manhattan,Yorkville,False,False,False,False,,124
52570,West 37th Street,3157,2,1,Manhattan,Hell's Kitchen,True,True,False,False,,124
52572,East 50's,8200,3,3,Manhattan,Midtown East,True,True,True,False,,124
52577,Water Street,4795,1,1,Brooklyn,DUMBO,True,False,True,False,,123
52578,50 West 34th Street,2575,Studio,1,Manhattan,Koreatown,True,True,False,False,,123
52580,Columbus Ave,2596,1,1,Manhattan,Manhattan Valley,True,True,True,False,,123
52581,Hudson St.,3662,1,1,Manhattan,West Village,False,False,True,False,,123
52583,West 55th Street,3200,2,1,Manhattan,Theater District,True,True,False,False,,123
52584,8 Fairview Pl Apt 4,2842,2,1,Brooklyn,Flatbush,True,False,True,False,,123
52586,W 72nd St.,3295,1,1,Manhattan,Upper West Side,True,True,False,False,,123
52590,45 Hoyt Street,3373,1,1,Brooklyn,Downtown Brooklyn,True,True,True,False,,123
52591,E 78th St.,9500,5,3,Manhattan,Upper East Side,False,False,True,False,,123
52592,200 Water Street Apt 2717,3845,3,1,Manhattan,Financial District,True,True,False,False,,123
52597,Park Avenue South,5000,4,1,Manhattan,Gramercy Park,True,True,False,False,,122
52600,21 Hull St Apt 1,2099,2,1,Brooklyn,Bedford-Stuyvesant,False,False,False,False,,122
52601,8th Ave,3000,1,1,Manhattan,Theater District,True,True,False,False,,122
52603,Seventh Avenue,7325,3,2,Manhattan,Theater District,True,True,False,False,,122
