,address,rent,beds,baths,borough,hood,elevator,doorman,laundry,furnished,sqft,page
437,7th Avenue,2995,Studio,1,Manhattan,Garment District,True,True,True,False,,2816
438,Thompson Street,3972,2,1,Manhattan,SoHo,True,False,True,False,,2816
439,W 15th St,4900,2,1,Manhattan,Chelsea,False,False,True,False,,2815
440,Delancey Street,5895,1,1,Manhattan,Lower East Side,False,False,True,False,,2815
441,West 53rd Street,3000,2,1,Manhattan,Hell's Kitchen,True,True,False,False,,2815
442,Rutgers Street,4195,2,1,Manhattan,Two Bridges,True,True,True,False,,2815
443,West 52nd Street,3900,3,2,Manhattan,Hell's Kitchen,True,False,True,False,,2815
446,QueensBoro Plaza,3500,2,1,Queens,Long Island City,True,True,False,False,850,2814
447,Murray Street,6900,2,2,Manhattan,Tribeca,True,True,False,False,1203,2812
448,West Street,3600,1,1,Manhattan,Financial District,True,True,False,False,653,2811
449,Water Street,4038,1,1,Manhattan,Financial District,True,True,False,False,,2810
450,Queens Plaza,3000,1,1,Queens,Long Island City,True,True,True,False,650,2809
451,West 110th Street,4218,1,1,Manhattan,Manhattan Valley,True,True,True,False,750,2809
452,48th Avenue,3721,1,1,Queens,Sunnyside,True,True,True,False,,2809
453,Water Street,4057,1,1,Manhattan,Financial District,True,True,False,False,770,2809
454,48th Avenue,3605,1,1,Queens,Sunnyside,True,True,True,False,696,2809
455,West 29th Street,4465,Studio,1,Manhattan,Chelsea,True,True,True,False,619,2809
456,48th Avenue,2835,Studio,1,Queens,Sunnyside,True,True,True,False,518,2809
457,48th Avenue,2875,Studio,1,Queens,Sunnyside,True,True,True,False,610,2809
458,48th Avenue,3715,1,1,Queens,Sunnyside,True,True,True,False,717,2809
459,East 95th Street,3425,1,1,Manhattan,Upper East Side,True,True,False,False,677,2809
460,West 77th Street,4045,1,1,Manhattan,Upper West Side,True,True,False,False,627,2809
461,West 29th Street,4200,Studio,1,Manhattan,Chelsea,True,True,True,False,478,2809
462,Washington Street,7085,2,1,Manhattan,West Village,True,True,False,False,1157,2809
463,West 43rd Street,3450,1,1,Manhattan,Hell's Kitchen,True,True,False,False,619,2809
464,48th Avenue,3751,1,1,Queens,Sunnyside,True,True,True,False,676,2809
465,Water Street,2769,Studio,1,Manhattan,Financial District,True,True,False,False,465,2809
466,West 52nd Street,3701,1,1,Manhattan,Hell's Kitchen,True,True,True,False,647,2809
467,Broadway,7195,1,1,Manhattan,Lincoln Square,True,True,True,False,,2809
468,East 95th Street,2941,Studio,1,Manhattan,Upper East Side,True,True,False,False,460,2809
469,48th Avenue,4398,1,1,Queens,Sunnyside,True,True,True,False,898,2809
470,Water Street,2920,2,1,Manhattan,Financial District,True,True,False,False,,2808
